Distance host 0(m),Distance host 1(m),Distance host 2(m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
5.9999,5.09857,5.09917,100.002,94.9999,100.004,95,
5.9999,5.09797,5.09992,100.005,95.0002,100.008,95,
5.9999,5.09707,5.10082,100.01,95.0002,100.012,95,
5.9999,5.09617,5.10157,100.014,94.9999,100.016,95,
5.09557,5.10217,5.9999,100.017,94.9999,100.02,95,
5.9999,5.10307,5.09482,100.021,95.0003,100.023,95,
5.9999,5.10367,5.09392,100.025,94.9995,100.027,95,
5.09362,5.9999,5.10457,100.028,95.001,100.031,95,
5.09272,5.9999,5.10532,100.032,95.0006,100.035,95,
5.9999,5.09197,5.10622,100.036,95.001,100.039,95,
5.10681,5.09108,5.9999,100.04,95.0003,100.042,95,
5.9999,5.10756,5.09033,100.044,95.0003,100.046,95,
5.9999,5.10846,5.08973,100.048,95.0011,100.05,95,
6.0002,5.10906,5.08898,100.051,94.9989,100.054,95,
5.10981,5.08838,6.0002,100.055,94.9993,100.058,95,
5.11071,6.0002,5.08748,100.059,94.9993,100.062,95,
5.08703,6.0002,5.11161,100.063,95.0004,100.065,95,
5.11221,6.0002,5.08613,100.066,94.9997,100.069,95,
5.11296,6.0002,5.08553,100.07,95.0001,100.072,95,
6.0002,5.11401,5.08463,100.075,95.0005,100.078,95,
5.08403,6.0005,5.11521,100.079,95.0002,100.082,95,
6.0005,5.11611,5.08298,100.084,94.9998,100.088,95,
6.0005,5.08208,5.11701,100.089,94.9999,100.091,95,
6.0005,5.11776,5.08133,100.093,94.9999,100.095,95,
6.0005,5.11866,5.08073,100.097,95.0006,100.099,95,
5.11956,5.07998,6.0008,100.101,94.9992,100.104,95,
6.0008,5.07938,5.12061,100.105,95.0004,100.107,95,
6.0008,5.12135,5.07863,100.109,95.0004,100.111,95,
6.0008,5.07788,5.1224,100.114,95.0012,100.115,95,
5.123,5.07729,6.0011,100.117,94.9994,100.119,95,
5.12375,5.07669,6.0011,100.12,94.9998,100.123,95,
5.12465,6.0011,5.07594,100.124,95.0002,100.127,95,
6.0011,5.07549,5.1257,100.128,95.0018,100.13,95,
5.12615,6.0014,5.07459,100.131,94.9988,100.134,95,
5.12705,5.07399,6.0014,100.135,94.9996,100.138,95,
